,Address,Phone,Website,Hours of Service
Retired and Senior Volunteer Program of Beaver County (RSVP),"524 Franklin Avenue Aliquippa, PA 15001",(724) 378-7547,,
Rev. Willie Chandler Food Pantry,"2322 Annapolis Road Baltimore, MD 21230",(410) 336-9118,,
"reVision House, Incorporated","38 Fabyan Street Dorchester, MA 2124",(617) 825-8642,www.re-visionfarm.org/index.html,
Revival Hill Oasis Of Faith,"1714-16 W. Venango St Philadelphia, PA 19140",(215) 229-3646,,4th Sa 8:30 AM-10:30 AM
Rhema Deliverance Center,"1201 W. Lehigh Avenue Philadelphia, PA 19133",(215) 498-6555 x215,,W 11:00 AM-12:00 PM
Rhoda Bloom Kosher Food Pantry,"450 West Nyack Road West Nyack, NY 10994",(845) 354-2121,,
Rhode Island Community Food Bank,"200 Niantic Avenue Providence, RI 2907",(401) 942-6325,http://www.rifoodbank.org/," The Rhode Island Community Food Bank operates Monday through Friday from 8:00 a.m. until 5 p.m. In addition to the regular hours of operation, it also offers extended hours for volunteers on Thursday evenings until 8 p.m throughout the         fall and winter months and on select Saturdays from 9 a.m. to noon. The Food Bank is not open on Sundays.  "
Rice County Social & Public Health Services ,"320 NW Third St #2, P.O. Box 718 Faribault, MN 55021",(507) 332-6115,http://www.co.rice.mn.us/,
Richard & Friends United In The Community,"1916 E. Venango Street Philadelphia, PA 19134",(215) 537-4540 x267,,M-Sa 8:30 AM-5:00 PM
Richardson park COmmunity Action,"107 S Maryland Avenue Wilmington, DE 19804",(302) 428-1247,http://rpcap.net/, mon-fri: 10-2  
Richland Wilkin Emergency Food Pantry,"699 8th Ave So Wahpeton, ND 58075",(701) 642-1921,,
Richmond County Enrichment Corps,"809 Armistead Street Rockingham, NC 28379",(910) 997-3316,,
Richmond Senior Services,"729 Delafield Avenue Staten Island, NY 10310",(718) 816-1811,,"Food Pantry: Tuesday 10am-2pm for seniors (60+), Thursday 10am-2pm for families."
Ridgewood Older Adult Center and Services,"59-14 70 Avenue Queens (Ridgewood), NY 11385",(718) 456-2000,,"FoodTuesday, Wednesday, Thursday 10:30am-12:30pm, except 1st week of every month."
RIGHT START OUTREACH CENTER,"15806 S. KEDZIE MARKHAM, IL 60428",(708) 401-8745,, Monday through Friday 9:00 - 4:00 Classess are schedule differently.  some maybe in the evening and on the weekends.  
"Rim Country Senior Citizens Association, inc.","P.o. Box 193 Overgaard, AZ 85933",(928) 535-5525,azfoodbanks.org/index.php?action=directory&page=23, Mon-Fri 12:00  
Rimrock Community Food Pantry,"660 Idaho Street Grand View, ID 83624",(208) 834-2419,,
Rio Grande Food Bank,"11539 Clear Lake Way El Paso, TX 79936",(915) 778-1175,,
Rio Vista Center,"1431 E Southern Avenue Phoenix, AZ 85040",(480) 258-4155,, To receive a food box or bag please be at the center Tuesday ? Thursday at 9 AM or Sunday Mornings at 11:15 AM.The Career Development Center operates Tuesday - Thursday from 9 AM - 12 PM and Thursday from 1 PM - 4 PM.The Human Services office is open Tuesday - Thursday from 9 AM - 12 PM and Thursday from 1 PM - 4 PM.  
Rippling Waters Farm,"55 River Road Standish, ME 04085",(207) 642-5161,http://www.ripplingwaters.org/,
Rise Up Christian Fellowship,"415 Rushmore Road Stormville, NY 12582",(845) 228-1617,,
Risen Christ Lutheran Church,"250 Blake Avenue Brooklyn, NY 11212",(718) 498-3848,,
RITAS Ministry (Restoring Inmates to America's Society),"150 South Lincolnway, Suite 104 North Aurora, IL 60542",(630) 966-0252,www.ritasministry.org,
Ritzville Food Pantry,"208 E 5th Ave Ritzville, WA 99169",(509) 659-1462,,
River Bend Food Bank,"309 12th Street Moline, IL 61265",(309) 764-7434,http://www.riverbendfoodbank.org/,
River Bend Food Bank,"309 12th Street Moline, IL 61265",(309) 764-7434,,
River City Living Church Food Pantry at Beat Aids,"218 W Cypress St. San Antonio, TX 78212",(210) 670-7298,,
River Fund Mobile Unit - Brooklyn,"2002 Neptune Avenue Brooklyn, NY 11224",(718) 441-1125,,2nd & 4th Saturday 12pm-1:30pm
River Fund Mobile Unit - Queens,"Rufus King Park, 150 St between 89 Ave. & Jamaica Ave. Queens, NY 11432",(718) 441-1125,,"1st & 3rd Tuesday, 11am-12:30pm"
River of Life Christian Fellowship Food Pantry,"9150-7 Stuart Rd. San Antonio, TX 78263",(210) 643-0794,,
River of Life Food Pantry,"45A Pine Aire Drive Bayshore, NY 11706",(631) 879-1827,, Monday- 11am to 1pmThursday- 7-9 pmSunday 12-2pm  
River of Life Philadelphia - Food Pantry,"701 E. Cornwall Street Philadelphia, PA 19134",(215) 279-7974,,TH 4:00 PM-7:30 PM;  
River Rock Christian Fellowship- Chelsea Food Pantry,"65 River Road Chelsea, ME 04330",(207) 622-7031,,"Wednesday 10:30-12
"
River Valley Regional Food Bank ,"1420 N. 32nd Street PO Box 4069 Ft. Smith, AR 72914",(479) 785-0582,http://www.rvrfoodbank.org/,
River Valley Regional Foodbank,"1420 N 32nd Street Fort Smith, AR 72904",(479) 872-8774,http://rivervalleyfoodbank.com/,
Riverside Baptist Church,"3248 India Hook Road Rock Hill, SC 29732",(803) 648-0502,,
Riverside Food Pantry,"5 School St Porter, ME 04068",(207) 625-7772,,"1st & 3rd Fri. 8:30-10:00am
Twice a month
Cornish, Baldwin, Hiram, Porter, and Parsonfield residents
No documentation required
"
Roadrunner Food Bank,"5840 Office Blvd. NE Albuquerque, NM 87109",(505) 247-2052,http://www.rrfb.org/,"M-F, 8 am to 4 pm"
Roadrunner Food Bank of New Mexico,"5840 Office Blvd. NE Albuquerque, NM 87109",(505) 247-2052,http://www.rrfb.org/,
"Roark-Sullivan Lifeway Center, Inc.","505 Leon Sullivan Way Charleston, WV 25301",(304) 340-3616,www.rslwc.org,
Robbin Nest learning center,"909 19th Street, NE Washington, DC 20002",(202) 388-3462,," -Robbin?s Nest Learning Center is a licensed Family Child Care Program.  Childcare is provided from the hours of 6:30 a.m.-6:30 p.m., Monday through Friday.  "
Robert Couche Senior Center,"137-57 Farmers Boulevard Queens, NY 11434",(718) 978-8352,,M-F 12:00pm
Roberts House of Hope,"302 West 124th Street New York, NY 10027",(212) 663-3532,,"Monday, Tuesday, Thursday, Friday 11:00am to 2:00pm"
Robinson Food Pantry,"602 E Pine St Robinson, IL 62451",(618) 544-3773,,
Robscott Building (Department of Social Services),"153 East Chestnut Hill Road Newark, DE 19713",(302) 368-6610,http://dhss.delaware.gov/dhss/main/maps/other/robscott.htm,Mon-Fri  8:00 a.m. - 4:30 p.m.
Rochester Roots,"121 North Fitzhugh Street Rochester, NY 14614",(585) 232-1463,www.rochesterroots.org,
Rock and Wrap It Up!,"405 Ocean Point Ave. Cedarhurst, NY 11516",(516) 295-0670,www.rockandwrapitup.org, Seven Days a week. 8am-12 am  
Rock and Wrap It Up!,"405 Oceanpoint Ave. Cedarhurst, NY 11516",(516) 295-0670,,
Rock Church Food Pantry,"640 Kempsville Road Virginia Beach, VA 23464",(757) 217-2192,,
Rock Church SE Food Pantry,"150 Highway 365 Port Arthur, TX 77640",(409) 549-8358,,
Rock Community Churches,"P.O. Box 1186 Melville, NY 11747",(631) 423-4511,,
"Rock Forge Neighborhood House, Inc.","PO Box 847 Dellslow, WV 26531",(304) 292-3286,,
Rock Hill Baptist Church,"4656 Highway 18 Brandon, MS 39042",(601) 825-5804,,
Rock Port Food Pantry,"211 W Opp Street Rock Port, MO 64482",(660) 744-2101,,
Rockford MELD,"428 North First Street Rockford, IL 61107",(815) 965-8336,www.rockfordmeld.com,
Rockin' Magicians Sports Association,"241 West 134th Street New York, NY 10030",(212) 862-7681,,M-F 9:00am to 5:00pm
Rockingham Community Action,"7 Junkins Avenue Portsmouth, NH 3801",(603) 431-2911,www.rcaction.org,
Rondout Valley Food Pantry,"3021 Route 213 E Stone Ridge, NY 12484",(845) 687-4013,,
Rooftop of Virginia,"206 N. Main St. Galax, VA 24333",(276) 236-7131,www.rooftopvirginia.com,
Room in the Inn,"705 Drexel St. Nashville, TN 37203",(615) 251-9791,http://www.roomintheinn.org/,
Roosevelt County SNAP Office,"1028 Community Way Portales, NM 88130",(575) 356-4473,,
Root Cellar,"94 Washington Ave Portland, ME 04101",(207) 774-3197,,"Monday-Friday 9:00am-12:00pm
Emergency 
Portland East End residents
Proof of residence
"
Rose Gardens and Orchards,"1622 S. 6th ST. Paducah, KY 42003",(928) 530-9559,http://www.rosegardensandorchards.com/,
Rose Hill Community Center,"19 Lambon lane New Castle, DE 19720",(302) 656-8513,http://www.rosehillcommunitycenter.org/, mon-fri: 9-12:30  
Rose of Sharon Harvest of Hope,"42 Chesterfield jacobstown Road Jacobstown, NJ 8542",(609) 758-3680,,
Rosedale UM Food Pantry,"5501 Third Street Verona, PA 15147",(412) 302-2509,,
"Roseville Home Start, Inc.","410 Riverside Ave. Roseville, CA 95678",(916) 782-6667,www.rosevillehomestart.org,
Rosie's Place,"889 Harrison Avenue Boston, MA 2118",(617) 442-9322,www.rosies.org,
Roslindale Congregational Food Pantry,"24 Cummins Highway Roslindale, MA 2131",(617) 325-9755,,
Ross County Committee for Elderly,"1824 Western Avenue Chillicothe, OH 45601",(740) 773-3544,,
Rossville Community Food Pantry,"9800 n sr39 Rossville, IN 46065",(765) 379-3940,,
Rotary First Harvest,"3200 First Ave S. Seattle, WA 98134",(206) 236-0408,,
Royal Heritage Society ,"2000 Reservoir Drive Philadelphia, PA 19121",(484) 680-9971,http://www.ormistonrhs.org/p/royal-heritage-society.html,20
Rugby Congregational Church,"4901 Snyder Avenue Brooklyn, NY 11203",(718) 693-0891,,
Run It Forward,"4120 Douglas Blvd., #306-197 Granite Bay, CA 95746",(916) 284-4431,www.runitforward.cc,
Running Strong For American Indian Youth,"2550 Huntington Avenue Suite #200 Alexandria, VA 22303",(703) 317-9881,http://www.indianyouth.org/,
Rural Action (Sustainable Agriculture Project),"PO Box 157 Trimble, OH 45782",(740) 767-4938,www.ruralaction.org,
Rural and Migrant Ministry,"P.O. Box 4757 Poughkeepsie, NY 12601",(845) 485-8627,www.ruralmigrantministry.org,
"Rural Areas Development Association, Inc.","190 Beech Street Gate City, VA 24251",(276) 386-6441,www.radainc.org, Monday through Friday 8:00 am to 4:30 pm  
Rural Community Action Ministry,"81 Church Hill Road Leeds, ME 4263",(207) 524-5095,www.rcam.net,
Rural Community Assistance Corporation,"3120 Freeboard Dr #201 West Sacramento, CA 95691",(916) 447-9832,www.rcac.org,
Rural Enterprise Assistance Project (REAP),"312 N Columbus Avenue Plymouth, NE 68424",(402) 656-3091,,
Rural Human Services Inc,"280 ""M"" Street Crescent City, CA 95531",(707) 464-7441,www.ruralhumanservices.org,
Rural Local Initiative Support Corporation,"1825 K Street, N.W. Washington, DC 20006",(202) 739-9283,www.ruralisc.org/,
"Rural Office of Community Services, Inc.","214 Main Street Lake Andes, SD 57356",(605) 487-7634,www.rocsinc.org,
"Rural Opportunities, Inc.","400 East Ave. Rochester, NY 14607",(585) 340-3300,www.ruralinc.org,
Rural Resources,"2870 Holley Creek Road Greenville, TN 37745",(423) 636-8171,www.ruralresources.net/index.html,
"Rural Roots, Inc.","P.O. Box 8925 Moscow, ID 83843",(208) 883-3462,www.ruralroots.org,
Rural Vermont,"15 Barre St Montpelier, VT 5602",(802) 223-7222,www.ruralvermont.org,
"Rural Virginia, Inc.","P.O. Box 57 Hadensville, VA 23067",(804) 321-3300,,
Rush Temple AME Zion Church,"119-48 Sutphin Boulevard Queens, NY 11435",(718) 529-5719,,"Pantry: Tue-9:30am Kitchen: Wed, Fri-12pm"
Russell Memorial CME Church,"703 South Alston Avenue Durham, NC 27701",(919) 682-2523,, MWF 10-12  
"Russell's Paradise Karate and Academy of the Arts, Inc.","3901 S Wayne Ave Fort Wayne, IN 46807",(260) 441-6052,,
Rust Street Ministries,"803 Rust St San Angelo, TX 76903",(325) 486-1004,www.johnsonstreetchurch.org/rust-street-ministries,
Senior Gleaners of San Diego County,"1363 Somermont Drive El Cajon, CA 92021",(619) 449-9381,,
"Senior Gleaners, Inc.","1951 Bell Avenue Sacramento, CA 95838",(916) 925-3240,www.seniorgleaners.org,
Senior Health and Peer Counseling Center,"1527 4th Street Santa Monica, CA 90401",(213) 829-4715,,
Senior High Rise Food Bank,"2611 S Decatur Denver, CO 80219",(720) 366-8315,http://www.shr-foodbank.com/, M-F 9-5  
Senior Home Care Services,"410 West 14th Street Greenville, NC 27834",(252) 758-4556,,
"Senior Meals on Wheels Program, Inc.","1279 Cedar NE Grand Rapids, MI 49503",(616) 459-3111,www.seniormealsonwheels.org,
Senior Neighborhood Support Services,"8 Woodland Place Stamford, CT 6902",(203) 324-2404,,
Sentinal Fellowship Church,"229 W. Mentor Street Philadelphia, PA 19120",(267) 679-2794 x215,,T & Sa 1:00 PM-2:00 PM
Serenity House of Clallam County,"P.O. Box 4047 Port Angeles, WA 98363",(360) 452-7224,,
Serra Mesa Food Pantry,"2650 Melbourne Drive San Diego, CA 92123",(619) 770-8517,,
Servants of Christ Food Pantry,"6336 17th Circle East Bradenton, FL 34243",(941) 727-4800,,
Service International,"17466 Chesterfield Airport Road Chesterfield, MO 63005",(636) 532-9008,, M-F 8:30-5  
"Service Learning Institute, California State University Monterey Bay","100 Campus Center Building 45A Seaside, CA 93955",(831) 582-3914,csumb.edu/,
"Servicios de la Raza, Inc.","4055 Tejon Street Denver, CO 80211",(303) 458-5851,,
Serving Hope Food Pantry,"9850 Walnut Hill Lane, Suite 228 Dallas, TX 75238",(214) 553-9909,,
Seton Food Pantry,"3494 State Route 31 Baldwinsville, NY 13027",(315) 652-4300,,Tuesday & Wednesday 9am-11am
"Seven Harvest, Inc","393 SFC 320 Forrest City, AR 72335",(870) 630-6161,7Harvest.org,
Seven Loaves Food Pantry,"5801 Plano Parkway Plano, TX 75093",(972) 839-4108,,
Seventh Day Adventist Community Service Center,"1320 N 15th Street Phoenix, AZ 85006",(602) 258-9951,,
Seventh Day Adventist Food Pantry,"310 Minot Ave Auburn, ME 04210",(207) 784-0861,,Tuesday 9am-12pm once a month
Seventh Day Adventist Food Pantry,"2 Naples Road Harrison, ME 04040",(207) 712-1384,,"Tuesday 6:00-7:30pm
Once a month
Harrison, Norway, Oxford, Waterford, West Paris, South Paris and Bridgton
Proof of income
"
Seventh Day Adventist Hispanic Church,"10621 Kingsclere Drive Cary, NC 27511",(919) 838-5288,,
SFCN Food Pantry,"113 Hwy. 20 Summertown, TN 38483",(931) 505-0081,,
SGC Food Pantry,"508 N Centerville Turnpike Chesapeake, VA 23320",(757) 436-7264,,
SH FB Serving Riverside & San Bernardino Cos.,"2950 B Jefferson Street Riverside, CA 92504",(909) 359-4757,,
Shakopee Mdewakanton Sioux Community ,"2330 Sioux Trail N.W. Prior Lake, MN 55372 ",(952) 445-8900,http://shakopeedakota.org/,
Shalom Baptist Church - CSFP/senior box program,"4901 N. 10th Street Philadelphia, PA 19141",(215) 685-1697,,First Wednesday- (12pm-3pm)
Shalom Christian Community Church,"1113 South Bloodworth Street Raleigh, NC 27601",(919) 829-9462,,
Shalom Cooperative Parish,"610 Front Street Grand Tower, IL 62942",(618) 565-2415,," 1st Sat of month, 9-11am  "
Shalom Senior Center,"483 Albany Avenue Brooklyn, NY 11203",(718) 774-9213,,"Monday, Tuesday, Wednesday, Thursday 2pm - 3pm, Friday 1pm - 2pm"
Shapleigh Food Pantry,"600 Shapleigh Corner Shapleigh, ME 04076",(207) 636-1662,,"Wed 6:00-7:00 pm
Once a week
Shapleigh and neighboring towns
Shapleigh and neighboring towns
"
SHARE - Mid Atlantic,"P.o. Box 1940 Norfolk, VA 23501",(804) 627-6599,,
SHARE - New Jersey,"P.o. Box 5427 Newark, NJ 7105",(973) 344-2400,,
SHARE Central Illinois,"1825 N E Adams Street Peoria, IL 61603",(309) 637-0282,,
SHARE Connecticut,"555 Windsor St. Hartford, CT 6120",(203) 280-3111,,
SHARE Florida Food Network,"1405 E 2nd Avenue Tampa, FL 33605",(813) 248-3379,www.shareflorida.com," M-F, 8:30-5:00  "
SHARE Food Program,"2901 West Hunting Park Ave Philadelphia, PA 19129",(215) 223-2220,sharefoodprogram.org,8:30-4:30 Monday - Friday
SHARE Food Program,"2901 W Hunting Park Avenue Philadelphia, PA 19129",(215) 223-2220,http://www.sharefoodprogram.org/, M-F 8:30-4:30  
SHARE Heart of the Carolinas,"P.O. Box 2009 Fayetteville, NC 28302",(910) 485-6923,,
SHARE Iowa,"P.o. Box 328 Oskaloosa, IA 52577",(515) 673-4000,http://www.shareiowa.com/,
SHARE New England,"146 Will Drive Canton, MA 2021",(718) 828-5151,,
SHARE New York,"1601 Bronxdale Avenue Bronx, NY 10462",(718) 518-1513,,
Share Our Strength - Operation Frontline,"62 West Brook Street Manchester, NH 3101",(603) 624-1899,,
SHARE Rockford,"320 S Avon Rockford, IL 61102",(815) 961-7328,,
Share the Future Community Land Trust,"P.o. Box 372 Heber, UT 84032",(801) 356-8151,,
SHARE Tri-State,"415 11th Street Ambridge, PA 15137",(412) 266-0470,,
SHARE Virginia,"644 West Main Street Radford, VA 24141",(540) 633-2850,www.swva.net/nrca,
Share-A-Little,"721 Palmer Avenue Concord, NC 28027",(704) 786-2938,,
Shared Blessing,"4703 Patterson School Road Bonne Terre, MO 63628",(573) 358-2686,,
Shared Blessings Community Food Pantry,"820 West Mill Street Danville, IN 46122",(317) 745-4330,,
Shared Harvest Food Bank,"5901 Dixie Highway Fairfield, OH 45014",(513) 874-0114,http://www.sharedharvest.org/, Mon-Fri 7:30a-3:30p  
Sharing Ministries Food Bank,"121 N. Rio Grande Montrose, CO 81401",(970) 240-8385,,
Sharon SDA Church,"5814 Harford Rd Baltimore, MD 21214",(410) 502-7810,www. sharonchurchbaltimore.org,
Sharon Temple SDA Church,"2001 Washington st. Wilmington, DE 19802",(302) 655-8023,http://sharon25.adventistchurchconnect.org/,
Sharswood Townhouse Resident Action,"1450 N. 21st Street Philadelphia, PA 19121",(267) 709-0373,,F 10:00 AM- 12:30 PM
Shasta Senior Nutrition Programs/food bank,"100 Mercy Oaks Drive Redding, CA 96003",(530) 226-3073,,
Shawsville Lay Ministerial Association Food Pantry,"4179 Old Town Road Shawsville, VA 24162",(540) 268-2756,,
Shekina Seven Day Adventist (Mt.NEBO),"531 W. Chew Avenue Philadelphia, PA 19120",(267) 335-5198,,"S 1:00 PM-4:00 PM, Sa 4:00 PM-6:00 PM"
Shekinah Church,"641 Annafel Street Rock Hill, SC 29730",(803) 366-0707,,
Shelburne Farms,"1611 Harbor Road Shelburne, VT 5482",(802) 985-8686,www.shelburnefarms.org/,
Shelby Presbyterian Church,"226 East Graham Street Shelby, NC 28150",(704) 482-5034,,
Sheldon Area Food Pantry,"107 N. Fourth St. Sheldon, IL 60966",(815) 486-7157,,
Shelter and Food for Homeless,"602 East 9th Street New York, NY 10009",(212) 228-5254,,
Shelter Ministries Food and Clothing Bank,"315 E. 7th Street Auburn, IN 46706",(260) 925-9200,,
Shelter Network of San Mateo County,"1450 Chapin Ave 2nd Flr Burlingame, CA 94010",(650) 685-5880,www.shelternetwork.org, Shelter Network's emergency shelters are 24/7 facilities.  
"Shelter, Inc.","919 S. Rogers Bloomington, IN 47402",() -,,
Sheltering Arms Child Development and Family Support,"385 Centennial Olympic Park Drive Atlanta, GA 30313",(404) 523-2767,,
Shelters of Saratoga,"14 Walworth Street Saratoga Springs, NY 12886",(518) 581-1097,www.sheltersofsaratoga.org,
"Shenango Valley Urban League, Inc.","601 Indiana Avenue Farrell, PA 16121",(724) 981-5310,,
"Shepherd Community, Inc.","4107 E. Washington Street Indianapolis, IN 46201",(317) 375-0203,www.shepherdcommunity.org,
Shepherd of Faith Food Bank,"Rt. 197, Main St Richmond, ME 4357",(207) 841-0779,,
Shepherd's Shelf - Food Pantry,"PO Box 213 Harleysville, PA 19438",(215) 256-8738,,M 6:30 PM-8:00 PM;  W 6:30 PM-8:00 PM;  
Shepherds Food Pantry,"Rte 17 B & Mattiosn Rd White Lake, NY 12786",(845) 583-6257,,
Sherburne County Health & Human Services,"13880 Business Center Dr. Elk River, MN 55330",(800) 433-5239,http://www.co.sherburne.mn.us/hhs/index.php,
Shiawassee United Way,"310 W Main St, Suite 1A, PO Box 664 Owosso, MI 48867",(989) 723-4987,www.shiawasseeunitedway.org,
Shilo Temple Pentecostal Church,"719 East 223rd Street Bronx, NY 10466",() -,,
Shiloh Christian Day Care & Soup Kitchen,"211 Durham Street Smithfield, NC 27577",(919) 934-1201,, M-F 6:00am-5:30pm  
Shiloh Church of Christ,"5 -7 West 128 Street New York, NY 10027",(201) 960-8100,,"Soup Kitchen: Thursday 12pm - 2pm
Food Pantry: Thursday 12pm - 2pm"
Shiloh Missionary Baptist Church,"13th & Roanoke Streets Scotland Neck, NC 27874",(252) 826-3130,, Wed 7:30-9Sun 12-3  
Shiloh SDA Church,"449 Eastern Pkwy. Brooklyn, NY 11216",(718) 778-2527,,Thursdays 9:30am-11:30am
Shipley State Service Center,"350 Virginia Ave Seaford, DE 19973",(302) 255-9040,http://dhss.delaware.gov/dhss/main/maps/dsscmap/shipley.htm, mon-fri: 9-5  
Shorefront Jewish Community Council,"128 Brighton Beach Avenue, 4th Floor Brooklyn, NY 11235",(718) 743-0575,shorefrontjcc.org,"Monday, Tuesday, Wednesday, Thursday 9am-5pm, Friday: 9am-2pm"
Shout for Joy Baptist Church,"962 Ogden Ave. Bronx, NY 10452",(347) 400-0409,,Saturday 9am - 11am.
Sibley County Public Health & Human Services,"111 - 8th Street P.O. Box 237 Gaylord, MN 55334",(507) 237-4000,http://www.co.sibley.mn.us/public_health_and_human_services/,"Monday through Friday
8:00 a.m. to 4:30 p.m."
Sidney Food Cupboard (Baptist Church),"3022 West River Road Sidney, ME 04330",(207) 805-6362,,"appointment only
"
Sierra Christian Center,"935 Hwy 74 East Hamlet, NC 28345",(910) 582-1740,,
Sierra County SNAP Office,"102 Barton Street Truth or Consequences, NM 87901",(575) 891-3011 x800,,
Silas H. Hunt Community Development Corporation,"371 W Wood St Ashdown, AR 71822",(870) 898-2353,,
Siloam Presbyterian Church Food Pantry,"260 Jefferson Avenue Brooklyn, NY 11216",(718) 789-7050,,"Wednesday 9am-12pm, first come first served."
Silver Creek Food Pantry,"260 Central Ave Silver Creek, NY 14136",(716) 934-7642,,
Silver Creek Senior Center,"1658 S Main St. Snowflake, AZ 85937",(928) 536-2222,,
Simple Way,"3234 Potter Street Philadelphia, PA 19134",(215) 423-3598,,T 12:00 PM-1:00 PM;  W 9:00 AM-10:00 AM;  
Simpson Fletcher Conestoga House,"5353 W. Master Street Philadelphia, PA 19131",(215) 477-9300,,Th 10:00 AM-2:00 PM
Sin Fronteras Border Agricultural Workers Project,"201 East Ninth Avenue El Paso, TX 79901",(915) 532-0921,www.farmworkers.org,
Sinai Community Food Pantry,"7 Johnson Street Spring Valley, NY 10977",(917) 921-6111,,
Sinai Family Health Center,"1501 S California Ave. Chicago, IL 60608",(773) 257-5157,www.sinai.org,
Sinton Area Food Pantry,"P.O.Box 224 Sinton, TX 78387",(361) 364-2381,,
Sioux Falls Food Pantry,"417 N. Phillips Avenue Sioux Falls, SD 57104",(605) 335-6921,,
Sister Carmen Community Center,"701 W Baseline Rd. Lafayette, CO 80026",(303) 665-4342,www.sistercarmen.org,
Sister Clara Muhammad,"4700 Wyalusing Avenue Philadelphia, PA 19131",(215) 877-9020 x267,,"Su, M, T, F, Sa 1:00 PM-5:00 PM"
Sister Mary O'Donnell Homeless Shelter,"745 Central Drive Presque Isle, ME 04769",(207) 764-4125,, 24/7; meals served to shelter residents 
Sister to Sister Emmanuel Fellowship COGIC,"336 Alston Ridge Road Siler City, NC 27344",(919) 663-2839,, Thurs 12-2as needed  
Sisterhood Inc,"402 York St Burlington, NJ 08016",(609) 747-9333,,M 9:00 AM-9:00 PM;  T 9:00 AM-9:00 PM;  W 9:00 AM-9:00 PM;  TH 9:00 AM-9:00 PM;  F 9:00 AM-9:00 PM;  SA 9:00 AM-4:00 PM;  SU 9:30 AM-11:30 PM;
"Sisters of the Road Cafe, Inc.","133 NW Sixth Avenue Portland, OR 97209",(503) 222-5694,www.sistersoftheroad.org,
Sixth Street Community Center,"638 East 6th Street New York, NY 10009",(212) 677-1863,www.sixthstreetcenter.org,
Sixth Street Shelter,"219 N. Sixth Street Allentown, PA 18102",(610) 435-1490,," Monday thru Friday, 8:30 a.m. to 4:30 p.m.  "
"Skagit Valley Hospitality House Assn, Dba. Friendship House","P.O. Box 517 Mount Vernon, WA 98273",(360) 336-6138,www.skagitfriendshiphouse.org,
Skagway Senior Center (Catholic Community Service),"Skagway Presbyterian Church, 475 Main St PO Box 976 Skagway, AK 99840",(907) 983-3664,"http://www.ccsjuneau.org/110,skagway","October-March: Monday, Wednesday & Friday 8 AM-3 PM; April-September Friday 8 AM-3 PM; 
Lunch is served at noon"
Skaneateles Ecumenical Pantry,"819 West Genesee Street Road Skaneateles, NY 13152",(315) 685-3512,,"Tuesday 10-11am, Thursday 7-8pm"
Skills Training Advancement Group,"ITT Hartford Hartford, CT 6115",(203) 547-4972,,
Skowhegan Community Food Cupboard ,"16 Cariani St. (back of Butler's Dry-cleaning) Skowhegan, ME 04976",(207) 474-9249 x215,,"Mon and Wed and Fri 10-11
"
Sky Harbor Family Services Center,"1818 S. 16th Phoenix, AZ 85034",(602) 495-5193,,
Sky Valley Food Bank,"233 Sky River Parkway Monroe, WA 98272",(360) 794-7959,,
Slim Buttes Agri-Development Project,"1705 S Maple Street Chadron, NE 69337",(308) 432-2290,,
Sloatsburg UMC Food Pantry,"93 Orange Turnpike Sloatsburg, NY 10974",(914) 393-3160,,
Slow Food Tucson," Tucson, AZ 0000`",() -,www.slowfoodtucson.org,
Small Business Development Center,"1445 Market Street Denver, CO 80202",(303) 620-8081,,
SMCAA - Southwest Michigan Community Action Agency,"Administrative Office Benton Harbor, MI 49022",(269) 925-9077 x800,www.smcaa.com/,
SMCC Food Pantry,"11 South JFK Way and Pine Lane Willingboro, NJ 8046",(609) 877-9331,,
Smith County Help Center,"PO Box 282 Carthage, TN 37030",(615) 735-8090,www.givingmatters.guidestar.org - Key word: Smith county Help Center,
Smithfield Food Pantry,"926 Village Road (Town Office) Smithfield, ME 04978",(207) 362-4772,,"Mon-Fri 8-11:45 & 12:30-4 (must call ahead)
"
Smithfield OH Food Pantry,"1599 Main St Smithfield, OH 43948",(740) 733-7395,,
Snay Yisrael Temple Kefarym,"7505 Brookhaven Road Philadelphia, PA 19151",(267) 249-4002,,Sa 10:00 AM-12:00 PM
Soc of Saint Vincent de Paul - Food Pantry,"1101 Main St Darby, PA 19023",(484) 497-8998 x610,,M 9:30 AM-11:00 AM;  TH 9:30 AM-11:00 AM;  
"Soc. St. Vincent, Medford ","1 Jones Road Medford, NJ 08055",(609) 953-0021,,M 9:00 AM-12:00 PM;  W 9:00 AM-12:00 AM;  SA 9:00 AM-12:00 AM;  
Social Justice Learning Institute,"664 E. Regent Street Inglewood, CA 90301",(323) 952-7363,www.sjli-cp.org,
Social Policy & Programs Advocate,"Po Box 97803 Pittsburgh, PA 15227",(412) 881-3363,,
Social Welfare Board,"904 S 10th Street St. Joseph, MO 64503",(816) 233-5188,,
Society of St. Andrew,"P.O. Box 536842 Orlando, FL 32853",() -,,
Society of St. Andrew,"PO Box 610806 Birmingham, AL 35261",(205) 245-3215,http://www.endhunger.org/,
Society of St. Andrew's,"3383 Sweet Hollow Road Big Island, VA 24526",(800) 333-4597,www.endhunger.org,
Society of St. Vincent de Paul,"1125 Bank Street Cincinnati, OH 45214",(513) 562-8841,www.svdpcincinnati.org," Monday-Friday, 9-5  "
Society Of St. Vincent De Paul,"405 N. St. Mary's Suite 650 San Antonio, TX 78205",(210) 225-7837,www.svdpsa.org," M-F, 8 am-5 pm  "
